timestamp,obj_type,meas_x,meas_y,pred_x,pred_y
19:01:51.701545,hand_right,1119,371,1131,335
19:01:51.822858,hand_left,362,493,361,488
19:01:51.822858,hand_right,1121,369,1126,343
19:01:51.942044,hand_left,365,491,360,489
19:01:51.942044,hand_right,1122,368,1123,349
19:01:52.061839,hand_left,369,492,361,489
19:01:52.061839,hand_right,1125,371,1121,354
19:01:52.182232,hand_left,369,494,363,490
19:01:52.182232,hand_right,1126,372,1120,359
19:01:52.297872,hand_left,371,491,365,491
19:01:52.297872,hand_right,1128,372,1120,364
19:01:52.417849,hand_left,375,491,366,491
19:01:52.417849,hand_right,1127,372,1121,367
19:01:52.537913,hand_left,375,492,369,491
19:01:52.537913,hand_right,1129,373,1122,370
19:01:52.658037,hand_left,373,490,372,491
19:01:52.658037,hand_right,1125,375,1123,373
19:01:52.777668,hand_left,372,490,373,491
19:01:52.777668,hand_right,1123,376,1123,375
19:01:52.897955,hand_left,373,488,373,490
19:01:52.897955,hand_right,1122,376,1122,377
19:01:53.013471,hand_left,372,485,374,490
19:01:53.013471,hand_right,1122,374,1121,378
19:01:53.133789,hand_left,371,484,374,488
19:01:53.133789,hand_right,1121,373,1121,379
19:01:53.253612,hand_left,370,481,374,486
19:01:53.253612,hand_right,1122,373,1120,378
19:01:53.373728,hand_left,371,477,373,484
19:01:53.373728,hand_right,1123,373,1120,378
19:01:53.493583,hand_left,371,478,373,481
19:01:53.493583,hand_right,1122,374,1120,377
19:01:53.613650,hand_left,369,473,372,479
19:01:53.613650,hand_right,1121,373,1120,377
19:01:53.733714,hand_left,369,472,371,475
19:01:53.733714,hand_right,1122,373,1120,376
19:01:53.850640,hand_left,371,472,370,473
19:01:53.850640,hand_right,1122,374,1120,376
19:01:53.970854,hand_left,372,473,370,471
19:01:53.970854,hand_right,1121,376,1120,375
19:01:54.090633,hand_left,371,475,371,470
19:01:54.090633,hand_right,1123,380,1120,376
19:01:54.209816,hand_left,372,474,371,470
19:01:54.209816,hand_right,1125,380,1121,377
19:01:54.329757,hand_left,375,474,371,469
19:01:54.329757,hand_right,1126,380,1122,378
19:01:54.449937,hand_left,375,471,372,469
19:01:54.449937,hand_right,1126,381,1123,379
19:01:54.566167,hand_left,376,469,373,469
19:01:54.566167,hand_right,1127,380,1124,380
19:01:54.685628,hand_left,378,467,374,468
19:01:54.685628,hand_right,1128,386,1125,381
19:01:54.805963,hand_left,380,465,376,466
19:01:54.805963,hand_right,1126,396,1126,383
19:01:54.925967,hand_left,382,468,377,465
19:01:54.925967,hand_right,1121,397,1127,388
19:01:55.045927,hand_left,378,469,379,464
19:01:55.045927,hand_right,1118,405,1125,392
19:01:55.165670,hand_left,394,475,380,465
19:01:55.165670,hand_right,1112,414,1123,398
19:01:55.285689,hand_left,406,477,385,467
19:01:55.285689,hand_right,1109,420,1119,405
19:01:55.401773,hand_left,393,472,393,470
19:01:55.401773,hand_right,1105,422,1115,412
19:01:55.521735,hand_left,387,470,395,470
19:01:55.521735,hand_right,1102,427,1111,419
19:01:55.641777,hand_left,386,472,395,470
19:01:55.641777,hand_right,1097,430,1106,425
19:01:55.761645,hand_left,382,474,394,470
19:01:55.761645,hand_right,1093,430,1101,431
19:01:55.881977,hand_left,381,474,391,472
19:01:55.881977,hand_right,1090,431,1096,435
19:01:56.001718,hand_left,382,478,389,472
19:01:56.001718,hand_right,1087,431,1091,438
19:01:56.117838,hand_left,382,478,387,474
19:01:56.117838,hand_right,1084,431,1087,440
19:01:56.238307,hand_left,382,476,386,476
19:01:56.238307,hand_right,1085,433,1083,441
19:01:56.357868,hand_left,382,473,384,476
19:01:56.357868,hand_right,1083,433,1080,442
19:01:56.478428,hand_left,381,470,383,476
19:01:56.478428,hand_right,1083,432,1077,442
19:01:56.597901,hand_left,378,465,382,474
19:01:56.597901,hand_right,1081,428,1076,441
19:01:56.717863,hand_left,375,462,380,471
19:01:56.717863,hand_right,1079,424,1074,439
19:01:56.837892,hand_left,375,460,378,468
19:01:56.837892,hand_right,1079,423,1073,436
19:01:56.953571,hand_left,374,460,376,465
19:01:56.953571,hand_right,1079,422,1072,433
19:01:57.073632,hand_left,373,459,374,462
19:01:57.073632,hand_right,1078,421,1072,430
19:01:57.193621,hand_left,372,456,373,460
19:01:57.193621,hand_right,1080,418,1072,427
19:01:57.313793,hand_left,368,449,371,457
19:01:57.313793,hand_right,1081,414,1072,423
19:01:57.433808,hand_left,360,437,369,453
19:01:57.433808,hand_right,1080,409,1073,420
19:01:57.554289,hand_left,353,426,364,446
19:01:57.554289,hand_right,1080,406,1074,415
19:01:57.673856,hand_left,351,419,359,437
19:01:57.673856,hand_right,1079,399,1075,410
19:01:57.789836,hand_left,353,415,354,427
19:01:57.789836,hand_right,1081,397,1075,404
